Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
KLBN11;KLABIN S/A;0,06;0,07;0,14;0,03;0,09;0,33;0,19;0,37;6,11;5,11;15,82;2,70;1,39;2,90;3,95;7,25;-0,71;0,44;2,02;14,18;6,94;2,72;7,73;5,67;0,86;0,06
ENGI11;ENERGISA;0,12;0,11;0,20;0,04;0,08;0,28;0,21;0,48;4,68;3,68;8,28;1,27;0,65;2,63;5,44;3,05;-0,37;0,27;5,92;8,53;6,75;1,81;15,22;7,36;0,76;0,05
SAPR11;SANEPAR;0,26;0,12;0,17;0,09;0,23;0,59;0,36;0,38;1,94;0,94;5,57;0,83;1,27;3,26;12,55;3,52;-1,02;0,43;6,47;5,55;4,57;2,00;19,78;5,14;0,68;0,05
TAEE11;TAESA;0,10;0,11;0,23;0,08;0,42;0,63;0,69;0,19;2,93;1,93;7,75;1,77;3,29;8,21;8,49;4,80;-1,04;0,60;7,59;8,47;8,40;5,80;14,97;14,49;1,06;0,10
ALUP11;ALUPAR;0,06;0,09;0,10;0,03;0,21;0,75;0,72;0,12;3,85;2,85;12,62;1,18;2,66;3,75;4,15;3,71;-0,47;0,31;3,88;8,30;7,77;5,94;9,27;8,38;0,69;0,04
HBSA3;HIDROVIAS;0,00;0,00;-0,17;-0,04;-0,15;0,21;0,01;0,27;4,86;3,86;-10,20;1,86;1,53;5,84;12,67;117,50;-0,46;0,38;-8,53;299,69;16,45;3,90;32,31;14,89;0,98;0,00
UGPA3;ULTRAPAR;0,16;0,16;0,23;0,08;0,02;0,08;0,04;3,75;2,68;1,68;8,21;1,63;0,18;5,30;7,39;4,45;-1,26;0,61;4,16;6,62;5,38;0,27;10,98;7,88;0,90;0,03
GFSA3;GAFISA;0,01;0,01;-0,03;-0,01;-0,05;-0,10;0,04;0,18;2,58;1,58;-4,64;0,11;0,22;0,33;0,33;4,94;-0,12;0,04;0,17;43,32;31,72;1,94;2,86;2,86;0,37;0,00
DASA3;DASA;0,07;0,04;-0,12;-0,04;-0,07;0,27;0,07;0,54;3,93;2,93;-2,30;0,31;0,15;-3,89;-2,20;2,15;-0,13;0,08;0,63;10,29;4,51;0,73;-10,52;-18,63;0,38;0,00
LWSA3;LWSA;-0,41;0,03;0,00;0,00;0,00;0,47;0,07;0,30;1,41;0,41;1654,85;0,90;1,95;10,95;12,13;26,90;-3,09;0,64;7,33;21,80;9,56;1,58;9,83;8,87;0,51;0,00
